text,labels,source
"« Все-таки раздели »,— мелькнуло в федькиной голове , и он чуть не разрыдался от прежде неведомого огорчения .",[1],lj
"«Можно было бы и погромче», — сокрушается один из них.",[1],lenta
"Походу, Гобозов-дебил один радуется своей свадьбе:D",[0],twitter
"если быть злым, то всё вокруг будет плохо(",[1],twitter
"Счастливы люди , живущие здесь !",[0],lj
Как это странно привязаться к человеку за один день... Новый год не нашей упоротой компанией:(  #ПечальБеда,[1 2],twitter
начало трени просто ужасное... чуть не сдохли :(,[1],twitter
"И продуманность буквально всего такая , что просто удивлялся поначалу .",[2],lj
"К сожалению , этот роман не читают в школе , и на нём не воспитывается подростающее поколение , как и на романах Юлиана Семёнова и многих других .",[1],lj
"Море очень ярких приятных впечатлений , сменялись такой же силы очень печальными .",[1],lj
"))) у меня есть супер-примеры, ) 140 знаков не хватит)) чудаки, йолки.",[0],twitter
"спасибо :D Да, надеюсь, они будут приносить только веселье) Но скажу, что падать, выходя из дома на олимпиаду тоже круто)",[0],twitter
"«Когда я впервые посмотрел это, я решил, что речь идет о страхе ребенка быть забытым родителем — во многом из-за разницы в размерах игрушки и ее хозяйки.",[3],lenta
"Меня даже совесть мучает , что я мало помогала Денису с этим , когда мы ехали на машине через всю страну .",[1],lj
"К сожалению , чехи сейчас откровенно слабы .",[1],lj
"Боюсь того,что скажет папа по поводу оценок((((( Бллииинн",[3],twitter
4s и он на звонках... Французский будет скучным  :(,[1],twitter
А я злая.,[4],twitter
"Ей одной бывает больно , трудно , а всем легко и им - счастливчикам ее « не понять » .",[1],lj
Оч позабавили двое счастливых на камазе и тракторе :),[0],twitter
"я так рад, что мы наконец то разгрузили этот КАМАЗ)",[0],twitter
"Немного разозлило то , что человек , часть группы которого стояла где-то позади меня , уехал вниз – вот какая ему разница , где их ждать ?",[4],lj
смотрю видюхи и заливаюсь :DDDDDDDDDDDDDDDDDDDD злой школьник радует,[0],twitter
"В наступившей тишине они не решались поднять головы , боясь поверить , что существует смерть .",[3],lj
"Первый человек, зафотавший сам себя, что нынче жутко модно:-)))  Роберт Корнелиус, Филадельфия, 1839.",[0],twitter
жуткое утро понедельника((( еле притащила себя на работу,[1],twitter
"))Поэтому,я уже ничему не удивляюсь",[0],twitter
"Что-то я сегодня злая :( наверно, голодная, надо бы покушать...",[4],twitter
"Я не впадал в депрессию, но то, как атаковали меня, как высказывались обо мне, моей семье, отце, близких… Было очень трудно.",[1],lenta
Одно меня только удивляет.,[2],lenta
"Ясный такой , суровый - и чудно пушистый снег , Как не поверить в Вечность , она ведь определенно есть ?",[0],lj
"Назад ехал под дождем, весь мокрый, с ужасным ливнем и ветром, между полями (",[1],twitter
"Отрадно наблюдать , как корабль движется в правильном направлении .",[0],lj
Адская боль в кисти(,[1],twitter
"К сожалению, эта глава нашей книги подходит к концу, это был не наш выбор», — сказал Бристоу.",[1],lenta
Добро пожаловать в психушку очень добрый и грустный сериал(,[1],twitter
С соседями я вижу не соскучишься)),[0],twitter
– испугался Алексей Данилович .,[3],lj
"Я пищала от восторга , когда мы собрались переезжать в эти края .",[0],lj
И это будет неизменно смешно .,[0],lj
"Раньше детей пугали Бабкой-Ёжкой, а теперь отключением интернета...)",[0],twitter
"Вроде и не из-за чего грустить, но мне всё равно безумно грустно :""(",[1],twitter
Новогодняя дискотека сегодня в школе была ужасной((,[1],twitter
"Второму человеку пишу так, я все же злая:(",[4],twitter
это счастье.,[0],twitter
"Местные жители возмущены актом вандализма и надеются, что правоохранители найдут совершивших злоумышленников как можно скорее.",[4],lenta
"о, вроде норм. Я боюсь за физику ;( завтра лабараторная,а я проболела 2 недели",[3],twitter
"Удачи, друзья!)",[0],twitter
"Я смотрела 1 раз этот фильм, пока больше не решаюсь, в тот 1 раз почти весь фильм слезах была, плакала.)))",[1],twitter
"Моя печаль растет прямо пропорционально мужниной веселости , который там , справа , весь в кураже и рвет струны , и я понимаю , как бесконечно мы далеки от моего любимого сна .",[1],lj
"мы не странные, просто мы с компутера его читаем)",[0],twitter
ахуенно погуляли)) наржались капец) давно не смеялась так),[0],twitter
что-то странно у нас как-то слова выпадают :(,[1],twitter
"#casual Действительно, надо быть настолько ужасным человеком, чтобы дропнуть Это :(",[1],twitter
"Проект Закулисный мир уже не первый раз приглашает блогеров , но обычно это театры ( как , например , Зазеркалье ), в этот раз я даже удивилась , что это приглашение пришло от них .",[2],lj
"При этом некоторые парламентарии опасаются, что новый закон не поможет стране сэкономить на российских долгах.",[3],lenta
Страх постепенно перерастает в панику .,[3],lj
Увидеть лайк от неё было вдвойне странно .,[2],lj
очень скучаю по этому зайчику!!,[1],twitter
"это было бы ужасно, я еще без халата был(",[1],twitter
отсутствие мозга - это печально....;(((,[1],twitter
"Разгневанная мать ученика обратилась к местным властям с просьбой, чтобы педагога отстранили от работы.",[4],lenta
До сих пор на взводе... Почему власть Украины ни хрена не делает с этим ужасом?,[4],twitter
Актер Олег Тактаров пригрозил «отломать ноги» бойцу смешанных единоборств (MMA) Александру Шлеменко.,[4],lenta
"Ну это наверное просто я привыкла к нашим жарко натопленынм помещениям , вот и удивляюсь всегда ) Еще природа Обед был с немцами .",[0],lj
"Какой злой я , убил Енота только для того , чтобы стать чуть-чуть храбрее "",- подумал он с горечью .",[1],lj
"Возможно со мной многие не согласятся ... Ведь на самом деле , очень грустно , когда тебя обманывают .",[1],lj
"А рассержены , уверяю вас , не только горожане .",[4],lj
"Река была уже рядом , когда Панин , встревоженный , что ничего не видит , сколько он не вглядывался вдаль , лег недалеко от реки за куст и решил переждать .",[3],lj
Ужасное утро  Проснулась  в 7 часов  и еду в МАН((,[1],twitter
"Дениса очень веселило , когда я первое время тянулась за ремнем вправо .",[0],lj
"На пороге встретила встревоженная мама , запутавшаяся в потомстве .",[3],lj
"Удивительно , что даже в годы гонений на церкви , она выстояла и была действущей !",[2],lj
"«Я узнал с изумлением о том, что российская адвокат, женщина, обвиняется… или сын Трампа обвиняется в том, что он с ней общался.",[2],lenta
"Наверное , очень удобно ссылаться на документы , которые есть в распоряжении только « Единой России », перефразируя песню Винни - Пуха – документ - это очень странный предмет , вот он есть и его сразу нет !",[4],lj
"Она смеялась до слез», — рассказывали другие, поставив брифам самый высокий балл.",[0],lenta
"Высший уровень воплощения украинского врага - бандеровцы , русоненавистники , грозящие всем русскоговорящим резней , или , того хуже ,« Гейропой » и неизбежным растлением .",[4],lj
Ооо..Я не достоин такого счастья( Увы...,[1],twitter
Злость .,[4],lj
я боюсь дивитись(  бо там хуйово все.,[3],twitter
не знаю :( прям тоска гложет.,[1],twitter
".Надеюсь за завтра успеем,а то 9 не очень хочется клеить.Теперь спать.В комнате жутко пахнет краской:(",[1],twitter
Пока шла на репу жутко замёрзла:((Ну и мороз:(,[1],twitter
В комментариях многие пользователи выразили недоумение и назвали такой поцелуй странным.,[2],lenta
"И хочется пожелать всем только, удачи...)",[0],twitter
Ухх ❤️❤️❤️ Сет забавный такой :)  Рада помочь,[0],twitter
я боюсь упасть и раздавить махора потому что я жирная оч((,[3],twitter
У человека с грустным лицом явно невеселые мысли .,[1],lj
"Более сложные примеры боюсь пересказывать , дабы не наврать .",[3],lj
"К сожалению, никто не выглядел так же уродливо, как ты!",[4],lenta
Местные жители с яростью восприняли его высказывание.,[4],lenta
"От их осязаемых взглядов поднимался в теле страх , сдавливая горло , чтобы , в конце концов , вырваться диким кривом :« А - а - а !» – Чёрт возьми !",[3],lj
"Звезда заявила, что раньше собака боялась даже приближаться к воде, однако в этот раз Нун сделал первый шаг самостоятельно.",[3],lenta
"Такое ужасное состояние с утра, не помню как вчера уснула.",[1],twitter
Разве это не удивительно?,[2],lenta
"Опять кошмары мучают(( Хочу спать, но уже боюсь засыпать",[3],twitter
Слушаю музыку ;3 потому что грущу :( и еще потому что скучаю по тебе :-* любимая хоть и ссоримся :3 Ом ном ном :3,[1],twitter
"Присмотрела себе пальтишки,просто до ужас хочу их купить,но их ценааа:(попрошу у папы на новый год",[1],twitter
"Мою сестру пугают что выгонят из универа, ох уж эти гены)",[0],twitter
"И сегодня был первый раз за 1,5 года работы, когда я рыдала...(((",[1],twitter
"Мы потом очень радовались , что приехали именно в такое время .",[0],lj
"Пользователи соцсетей начали высказывать в связи с этим недоумение и назвали мероприятие «дном города», а сам Омск — «бабкиной надеждой».",[2],lenta
"ужас, Лена ))  я бы не хотела быть в твоей команде с такими методами xDDDD",[0],twitter
"И да , очень смешно смотрятся идеи про работу ещё и ещё .",[0],lj
Я энергетический вампир))хочу себе жертву-оптимиста,[0],twitter
не говори;( это было ужасно.,[1],twitter
"""дипресіями"" он сказал))) да, сейчас таким недугом можно целый народ погубить",[0],twitter
ну это не у нас ведь):) не бойся -защитим всегда и согреем),[0],twitter
ну нет золотой середины :( тем не менее шоколаааааад *_* я счастлив!,[0 1],twitter
"Спасибо за честность в творчестве, верность слову, пронзительный взгляд и тонкий юмор с перчинкой… Непоправимое горе и беда, мои самые глубокие соболезнования родным и близким..» — отмечает Ольга из Москвы.",[1],lenta
"И вот уже последнее движение , Миша спрыгнул на землю , Наденьке предстоит сделать один шаг , но здесь высоко и она боится .",[3],lj
"мама всерьез испугалась, что я потоплю наш город, а потом и всю Россию)",[3],twitter
"Жуткая ночь была , был рад , что проснулся .",[0],lj
"Он заботлив к каждому , улыбчив , кажется несгибаемым оптимистом , только в тот день , когда умерла сестра - на него больно было смотреть .",[1],lj
Ночь сегодня была ужасная И утро началось не из лучших!,[1],twitter
В поезде я заняла не очень удачное место с окнами на восток .,[1],lj
"А если серьезно , то смешного тут мало .",[1],lj
"Вроде, выходные-рай, а для меня это проспать весь день, а к вечеру непонятная депрессия;(",[1],twitter
"Запуганные :( : Только в России пешеходы благодарят водителей за то, что те пропускают их на пешеходном пере…",[1],twitter
"Меня удивило , насколько глубоко они знают историю России и Европы и сколь обеспокоены судьбой этого направления в науке и жизни общества .",[2],lj
"спасибо за охуеные выходные!я вас люблю))за внезапные планы, объятия, смех, и дружбу!",[0],twitter
Злые люди((( я в печали,[1],twitter
"погода ужасная, почитать нечего, завтра на работу (((((",[1],twitter
"Для ДНП нужны функции: ""мы тебя не понимаем"", ""у тебя удивительная история"", ""блин, как я тебя понимаю"" ;)",[0],twitter
"Никогда он не думал раньше , что в нём может вырасти такая чудовищная ненависть .",[4],lj
"Я наконец вышел из этого дома и , когда шел , почувствовал , как боль ползет обратно и снова охватывает все мое существо .",[1],lj
ахахаха повезло:3 а я завтра:((((боюсь ппц как,[3],twitter
"хах, ну вот ты так думаешь, а вот другие вот нет) Но, спасибо тебе за поддержку, я рад, что я тебе нравлюс…",[0],twitter
«Вот как это должно быть!» — радовались они.,[0],lenta
"Боюсь , что в случае присоединения к России , уже через несколько лет крымчане горько пожалеют об этом .",[1],lj
"злые вы, уйду я от вас :(",[1],twitter
Какой ужасный вечер!,[1],twitter
«Я был в ужасе.,[3],lenta
"Прошедший недавно отечественный сиквел , а точнее последующее за ним кипение субстанций , метания экскрементов и т . п . , вызвало у меня искреннее недоумение .",[2],lj
Вот так сидишь считаешь дни сколько до тебя осталось...но никакого стимула что то делать не появляется ( Паника,[3],twitter
Радуй всех своей улыбкой и больше не болей!=) …,[0],twitter
"с какихто номеров мне ктото звонит, боюсь-боюсь :(",[3],twitter
Я в жизни не видел таких изумительных кожаных изделий .,[2],lj
люблю когда Сергей начинает напевать свои странные песни :),[0],twitter
"сегодня уже вокзал типо ""заминировали"" ахах,смешно уже смотреть на это )",[0],twitter
сегодня последняя серия шоу кажись мне плакать еще и плакать эх слезы мои слезы(,[1],twitter
"После войны ( после этих безжалостных сражений ) люди были угрюмые , мрачные , потерявшие сердца , сострадание , горечь , обиду .",[1],lj
Завтра будет весело.,[0],twitter
Откуда же берется такая злая путаница ?,[2],lj
"Обратить внимание также нужно на фразу "" принимает решение ""- а не просто утверждает . )",[0],lj
"К сожалению, меня попросили этого не делать», — поведал Уильямс.",[1],lenta
"Сидеть и переделывать фамилии одноклассников, а потом умирать со смеху- все нормально, да, Лен?",[0],twitter
"в таком ужасе прийдется спать, не успели мы :(",[1],twitter
"Странно , 7 лет назад не было в Синцзяне столько солдат с автоматами .",[2],lj
"Можно сидеть , можно лежать на креслах - мешках , а я встала ( мне казалось , что я такого рода искусство только стоя могу воспринимать ) и первые минут пять думала - как-то странно , это о чем ?",[2],lj
да я не злюсь ) просто вспомнил ружьё деда  #пораоткапывать,[0],twitter
"К удивлению спасателей, кореянка отделалась обезвоживанием, ссадинами и незначительными травмами.",[2],lenta
:) Закаты здесь просто сногсшибательные ... А читать Ксюша любит даже на море !,[0],lj
"говорила мне бабушка, не слушался я, теперь мучаюсь(",[1],twitter
"мама  сказала что у меня подчерк нормальный)))ну ведь это не так,у меня ужасный подчерк!",[0],twitter
"Я не помню , чем всё закончится , но у меня удивительно теплые воспоминания о будущем .",[0],lj
Обилие кнопок пугает только на первый взгляд .,[3],lj
"Персонал дружелюбный», — пошутил один из комментаторов.",[0],lenta
Запах ужас!,[4],twitter
Я даже не злюсь )все что в моих силах то я сделала )теперь давай сам),[0],twitter
"""Хоть раз, но должен заиграть жестокий нигерский трек"".” Нихуя не раз!)",[0],twitter
счастливый !!!,[0],twitter
"Причем вся эта вакханалия протекает довольно уныло , в стиле диалога злобных старух на завалинке .",[1],lj
"Я никогда и не думал , что буду бояться ходить по Гарлему и Нью-Йорку .",[3],lj
"Только бы не отвести взгляд , не закрыть глаза , только бы посметь выдохнуть в сияющее жестоким справедливым светом лицо : единственная , я невиновен , я люблю !",[0],lj
"Побежал - и очень скоро вспомнил , почему я раньше терпеть не мог бегать по стадиону : бежать что-либо более 3 километров , наворачивая круги , психологически ужасно утомительно .",[1],lj
"Но, к сожалению, иногда обстоятельства вынуждают действовать не так, как хотелось бы((",[1],twitter
"но это так дебильно выглядит(( ну хоть что-то, а то боюсь последствий.",[1],twitter
"«Люди, почему я продолжаю получать сообщения от этого человека даже после того, как я его заблокировал?» — написал  встревоженный пользователь под ником @osesax.",[3],lenta
"Наступило странное время года... Утром ночь, вечером ночь... А днем я учусь(",[1],twitter
"Женщина объяснила, что ранее не сообщала о преступлении, так как боялась мести насильника.",[3],lenta
"Надо сказать , к нам в академию я смеху ради тоже подала .",[0],lj
реально ужас.,[1],twitter
Фотография на паспорт это - ужас.,[1],twitter
Опять маме наговорила ужасные вещи.,[1],twitter
мне как и  девочки уже на аске угрожают!),[0],twitter
"Я не знала ее, но мне жутко плохо и я плачу, ведь наша семья потеряла замечательного человека :,( #RIPвазелинус",[1],twitter
"Я излучаю добро, ибо зависть, злость и тому подобное прерогатива слабых или просто идиотов)",[0],twitter
"Я рад , что родился 13 - ого и мне очень нравится , что я жив !",[0],lj
Уехала так называется домой...( Жизнь боль...(,[1],twitter
"Пожалуйста, мы будем рады всех там видеть у нас, в Москве», — сказал российский лидер.",[0],lenta
"ребят, а я боюсь, правда((",[3],twitter
"Я уже , предвкушая , долгий и мучительный процесс , готовилась морально .",[3],lj
Появившийся из – за неуверенности страх усиливается .,[3],lj
"- Только Петя Культиасов ,- не переставая радоваться , ответил я .",[0],lj
"И мучает меня вопрос : нафига вообще было приобретать права на « Мировую Войну Z », если ни концепт , ни основы сеттинга в фильме не используются ?",[2],lj
"– Я только хотел ... – обронил я , но обрадовался , когда она оборвала меня , потому что , по правде говоря , не знал , чего я там хотел .",[0],lj
Во саду и в огороде все ратет и радует !,[0],lj
не у меня просто пуганом бомбанитос :(,[1],twitter
"холодные,но счастливые )",[0],twitter
"Скучаю по Настеньке, моя малышечка, 1.5 года уже ее не видела(",[1],twitter
"Ни тебе душевности , ни тебе теплоты , ни радости от сцены и счастья актера от слияния с публикой .",[1],lj
Мой мозг и глаза в ужасе((,[3],twitter
Катямне13 веселая пошлая)Дирекшионер+,[0],twitter
«Сегодня я очень рад.,[0],lenta
"Начало понедельника откровенно пугает:мое везение осталось спать не подушке,видимо.",[3],twitter
"Настя Максимова,я твой ярый фанат:) Вот держи мой годный копслей:3",[0],twitter
Закрою-ка я сделки лучше... странная ситуация на рынке вообще =)) Ещё и через пол часа выходит уверенность инвесторов,[0],twitter
Прежде всего удивляли её огромные размеры .,[2],lj
Света умеет удивлять по утрам:))),[0],twitter
странный вопрос.,[2],twitter
"«Дети по всему миру голодают, а у Ким Кардашьян мусорка от Louis Vuitton», — разозлило фото пользователя Yaraakm.",[4],lenta
"ак  я тоже, не реально странно 5 лет все ругались, а тут вдруг полюбили друг друга :-/",[2],twitter
"«Ждем добрых вестей — хотелось бы, чтобы это был он, такое счастье будет для семьи.",[0],lenta
"Ужасное чувство,что то не то,волнение какое то(",[1],twitter
а кто стонет?я смеюсь) через полгода буду хохотать даже),[0],twitter
"я пиздец хочу поругаться((( мне только повод дай,я злая пиздец.",[4],twitter
На днях меня обидела злая тётенька .,[1],lj
Ужас .,[3],lj
Грусть и пустота(,[1],twitter
"Он вышел к журналистам в необычной обуви разного цвета, что вызвало недоумение у пользователей.",[2],lenta
"у нас тоже задротят, правда вай фай вообще странный: у роутера не ловит, а за 1000 км отлично!",[2],twitter
"В среднем ребенок улыбается 400 раз в день, а взрослый 17 раз. Предлагаем прямо сейчас улыбнуться, чтобы испортить эту статистику :)  :) :)",[0],twitter
"— Боюсь , у тебя погулять не получится .",[3],lj
Соболезную Волгограду....на самом деле это очень ужасно( почему люди не хотят жить в мире..?,[1],twitter
"Там хоть и бред сумасшедшего, но это позволит не так сильно мучить свой мозг непонятной для него хуитой о ""странных"" идеологиях и взглядах.)",[0],twitter
"Мааакс, Саша, Миша, лагерь, я скучаю :(",[1],twitter
Это самая настоящая шутка!,[0],lenta
"Хорошее начало дна рождения))) уровень evil 146%, мне грозятся отомстить но",[0],twitter
"Оскал бывает чувственным - и хищным , Как может быть злорадным торжество Того , что кажется потом изрядно лишним , Когда украдено оно .",[4],lj
"Джон почувствовал себя удивительно счастливым , молодым , свободным , он двинулся по направлению к лучистому сиянию .",[0],lj
"не пали кассу, тебя же препод читает :))) или это коварный план?))",[0],twitter
волков бояться в лес не ходить) Хороший требовательный учитель) Который реально даст хоть какие то знания),[0],twitter
"алала) ну тогда на твой страх и риск, нуна XD",[0],twitter
"И , к величайшему моему изумлению , черепа ксеноморфа на стене было не обнаружено .",[2],lj
"Отдельный привет передаю  который пиздит наши твиты:) хоть текст меняйте, ироды)",[4],twitter
"ох ну и козлик ты...(((( Я забыла тебе сказать, чтоб ты книжку выложил.... такая злая на тебя была",[4],twitter
"ноги болят,компресс хоть как-то смягчает эту боль(",[1],twitter
Самое значимое событие и самое печальное – это несомненно потеря дедушки в феврале .,[1],lj
Бабка домой вернулась :-( Закончилась пол-недели счастья,[1],twitter
"хватает банка, который вечно на связи) не дает нам скучать) Да и без Москвы никуда, ни дня не было без них) веселимся;)",[0],twitter
грусть печаль точка обида :(,[1],twitter
Новости не радовали .,[1],lj
"по утрам особенно интересно , потому что там котики , веселые картинки , обсуждение косметики и шмоток .",[0],lj
"Сначала у нас а офисе тусили корейцы, а теперь тусят японцы))) я счастлив)))",[0],twitter
"Боюсь попить воды( ща попью, а потом в элке начну что-нибудь вытворять( и да, веселого всем утра",[3],twitter
"ахаххаа меня мальчики боятся ну да я ж маньяк , который просто попросил позвонить:D",[0],twitter
"а ни кто не обещал,что будет легко.Мне так точно такого не обещали.=)Так что не расстраивайся.Лучше радуйся людям,которые рядом.",[0],twitter
"Хочу писить, но боюсь пропустить интересное(",[3],twitter
"Вспомнил с товарищем детства,как мы занимались на тренировках лет 11 назад,маленькие звери.Сейчас чисто настальжи и улыбка на лице)",[0],twitter
И я был так зол .,[4],lj
"Вернись к Лиаму..,.Софи его погубит:(рили",[1],twitter
"Жизнь , порой , удивительнее любого кино !",[2],lj
"Но, к сожалению, конкретной ракеты-носителя, под которую разрабатывается двигатель, пока нет», — заявил Левочкин.",[1],lenta
"И даже к этой женщине он ни разу не обратился по имени , что достаточно странно .",[2],lj
Я злая и не выспавшаяся - причем по разным поводам - вещь неприятная >:(,[4],twitter
остаешься дома один в детсве: паника.,[3],twitter
"В общем , чушь это все полная , про версию религиозной мести .",[4],lj
"«Я очень счастлив тому, что я алкоголик, это великолепный дар, потому что куда бы я ни пошел, эта пропасть следует за мной.",[0],lenta
"звучало как угроза :D ""придёшь и твоей личной жизни настанец пизда!""",[0],twitter
"Иногда это меня пугает, но я всегда хочу, чтобы она вернулась.",[3],lenta
"Конечно , Стас был зол !",[4],lj
Чувство ответственности и материнский инстинкт тревожат меня уже часа два :(,[3],twitter
"У всех всякая суета и метушня, а я помираю со скуки:(",[1],twitter
"Я желаю вам добрых и успешных дел , счастливых забот , и чаще удачи !",[0],lj
"Позор тебе , смертный , осмелившийся дотронуться до князя льдов , смерть любому , чья рука коснётся безжалостной красоты Февраля .",[4],lj
"«Мои слова были сказаны в шутку, но они были за гранью дозволенного, мне очень жаль», — написал 32-летний украинец на русском языке.",[1],lenta
"Выговорилась  , и глупые мысли больше не тревожат ;)",[0],twitter
"Из огорчений - в пилотной серии Красавчика играет Тим Данниган , а в продолжении Дирк Бенедикт .",[1],lj
"Но забавно , что и некоторая соль в этом есть .",[0],lj
"Ходили к Дашке в больницу,так там мальчики дибилы,и медсестры злые((мне ее так жалко(",[1],twitter
"к счастью, знаю и завидую как сука :(",[1],twitter
НУ ФОТКА ДА)  А ТАК ТЫ НЕ СТРАШИЛИЩЕ),[0],twitter
"Печально во всей этой истории лишь то , что у лавочника , которого это ничуть не радовало , была целая гостиная , обшитая резным дубом , в то время как другие платят огромные деньги , чтобы его раздобыть .",[1],lj
"«К сожалению, альпинист скончался.",[1],lenta
"Была рада вернуться и в Чикаго , и на марафон .",[0],lj
"skobkin-ru,  dzhariy, дяденьки, не пугайте меня :""( я же не засну",[3],twitter
Со слезами на глазах .,[1],lj
"Они были ужасны , жестоки и отвратительны - именно такие , какими он себе их представлял .",[4],lj
«Вы замечательный и шутки у вас смешные.,[0],lenta
"Люди оказались в ярости от того, что им пришлось провести ночь в аэропорту, а некоторым — спать на багажных лентах.",[4],lenta
"Просыпаюсь,  обновляю ленту, не вижу поста...  Злой сон:(",[4],twitter
"Я радовалась за него , потом грустила , потом злилась , потом пыталась вернуть все назад .",[1 4 0],lj
"Я чудовище , если меня рассердить ) Вы уже знаете из первого абзаца этой заметки , что платонизм на вопрос "" можно ? """,[0],lj
какая злая :D на тебе любви kkk ♥,[0],twitter
"Я устала болеть(( за вчера от скуки съела еды,которой хватило бы и на дракона!",[1],twitter
"«Мне показалось очень странным, что эти мужчины приехали из-за рубежа, чтобы убивать здесь животных ради еды.",[2],lenta
«Это странное и пугающее место.,[3],lenta
"Больше всего я боюсь, что в колледже в моей группе будет человек 10 от силы!",[3],twitter
Отсюда постоянный фон страха .,[3],lj
"Рассержены , поверьте , все , кто еще способен на сильные чувства .",[4],lj
"Застучало , заухало у Сережи сердце , забились по всему телу , словно от испуга , ниточки крови .",[3],lj
"Могло быть хуже», — посмеялся над коллегой стоявший рядом другой магистр игры Виктор Сиднев.",[0],lenta
"После месяца фобии , что волосы выпадут совсем и надо "" проверять организм "", я за день по алгоритму нашла проблему , решение и счастлива",[0],lj
"Самый тяжелый фильм,который я смотрела когда либо А самое ужасное,что он основан на реальных событиях из жизни((",[1],twitter
сайт Сапсана удивляет... как будто сделан в 90-х o_o,[2],twitter
"Прогулы по культурологии закрывать надо =( На билете красуется надпись ""Страсти по С",[1],twitter
Страх усиливается .,[3],lj
Вроде все хорошо) странно как-то) и слишком подозрительно.,[0],twitter
"Тело боится , рука держит … Когда меня возвращают в палату , и я ложусь на свою кровать , я начинаю плакать .",[3 1],lj
""" Ублюдки засунули собаке в рот фейерверк так, чтобы она не смогла его открыть и повеселились Твари! """,[4],twitter
Милые приятные улыбки незнакомых девушек удивляют и радуют),[0],twitter
"Я люблю там бывать и рыбалка даже не самое главное , что меня сюда манит – суровая красота шхер и фиордов , прелесть растительности выживающей на камнях среди снегов , морозов и ветров .",[0],lj
Пока сидела на алгебре жутко нога разболелась:(,[1],twitter
"Обидно, когда ты вроде общаешься с ним, у тебя есть шанс спросить, но ты боишься(",[1],twitter
"Но я всю свою жизнь буду против Жизней тех , кто готов убивать Ради злобных своих представлений , Ради мелочи и ерунды .",[4],lj
Один из них на Atom и это сильно ужасно сильно расстроило присуствующих .,[1],lj
"«При подготовке к турниру были обсуждения по поводу радиации, участники боялись ехать.",[3],lenta
"Гарррииии:*  Я все время удивляюсь, как же быстро Лиам говорит!",[2],twitter
"«Я рад тому, что ярко, сочно.Ошибки нет, я не учту.",[0],lenta
"А на телефоне только маленькие царапинки ЧТО ООООЧЕНЬ СТРАННО, Т.К. ОН УПАЛ ЭКРАНОМ ВНИЗ …",[2],twitter
"Оля с Машей выглядели напуганными , они , обыскав весь лес , единственные понимали до конца всю серьезность происшедшего .",[3],lj
Только сейчас хандра какая то .,[1],lj
"Удивительно и то , что по сути это закрытый город , в котором до сих пор живёт 4000 человек , потомки либо богатых , либо известных людей того времени .",[2],lj
"В роще почти стемнело , и угроза слышалась теперь в каждом шуме .",[3],lj
"К сожалению , последняя книга у нас не прижилась : мои мальчишки , рассматривающие все карты подряд , наотрез отказались "" читать "" эту книгу :(",[1],lj
